x,y_pred,y_true
"Instruction: Create a table listing all games that meet the specified criteria in the National Football League. Use the season, local time, game, and score as columns of the table. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Ravens home games in 2011","Team, Date, Score","season | local time | game | score 2011-12 | Sun, Jan 15 | Texans (11-7) at Ravens (13-4) | 13 - 20 2011-12 | Sat, Dec 24 | Browns (4-11) at Ravens (11-4) | 14 - 20 2011-12 | Sun, Dec 11 | Colts (0-13) at Ravens (10-3) | 10 - 24 2011-12 | Thu, Nov 24 | 49ers (9-2) at Ravens (8-3) | 6 - 16 2011-12 | Sun, Nov 20 | Bengals (6-4) at Ravens (7-3) | 24 - 31 2011-12 | Sun, Oct 30 | Cardinals (1-6) at Ravens (5-2) | 27 - 30 2011-12 | Sun, Oct 16 | Texans (3-3) at Ravens (4-1) | 14 - 29 2011-12 | Sun, Oct 2 | Jets (2-2) at Ravens (3-1) | 17 - 34 2011-12 | Sun, Sep 11 | Steelers (0-1) at Ravens (1-0) | 7 - 35"
Instruction: You should capitalize the sentence according to the guide. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Guide: Every other letter alternates between lower case and upper case. Sentence: A giant spider blocks your path.,A giant spider blocks your path.,a gIaNt SpIdEr BlOcKs YoUr PaTh.
"Instruction: The movie tagline is the film's advertising slogan, usually printed on posters prior to the official release. It is a short description or comment on a movie to capture the essence of the movie, and ultimately make you watch the movie. Here is an example: <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Movie: Joker (2019)","""A dark and twisty tale of a man who must face his own demons in order to survive.""",Put on a happy face.
"Instruction: Write what the pronunciation of the given word sounds like. Follow the ""Google pronunciation dictionary"" scheme for phonetic spelling. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: interpretations",interpretations,intrpruhtayshnz
"Instruction: Notify me of any suggestions you may have for making the text more grammatically correct. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: This is the second time I've been here, and the vibes, and the food were exquisite.","This is the second time I've been here, and the vibes, and the food were exquisite.","It appears that you have an unnecessary comma in a compound subject.
Consider removing it."
Instruction: Suggest some Audiobooks for First-Time Listeners. You can attract them by choosing popular works. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST>,- The Great Gatsby by F. Scott Fitzgerald - Harry Potter and the Philosopher's Stone by J. K. Rowling - The Lord of the Rings by J. R. R. Tolkien - The Hitchhiker's Guide to the Galaxy by Douglas Adams - 1984 by George Orwell - The Catcher in the Rye by J. D. Salinger - The Great Gatsby by F. Scott Fitzgerald - The Catcher in the Rye by J. D. Salinger,"+ Harry Potter and the Sorcerer's Stone By J.K. Rowling + The Vanishing Half by Brit Bennett + The Fellowship of the Ring by J.R.R.
Tolkien + And Then There Were None by Agatha Christie.
+ The Woman in Cabin 10 by Ruth Ware.
+ The Hitchhiker's Guide to the Galaxy by Douglas Adams.
+ Spinning Silver by Naomi Novik.
+ Good Omens by Terry Pratchett and Neil Gaiman.
+ Charlotte's Web by E. B."
Instruction: Convert natural language into a list of turn-by-turn directions. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Go west on I-10 until you hit the 101 then take it north. You will eventually see the Hollywood sign.,"Go west on I-10 until you hit the 101, then take it north.
You will eventually see the Hollywood sign.","1.
Go west on I-10.
2.
Take the 101 north.
3.
You will eventually see the Hollywood sign."
"Instruction: You are given a search query and a document. Classify whether the document is relevant to the search query or not relevant. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Search: why sky is blue Document: The Short Answer: Sunlight reaches Earth's atmosphere and is scattered in all directions by all the gases and particles in the air. Blue light is scattered more than the other colors because it travels as shorter, smaller waves. This is why we see a blue sky most of the time.",Relevant,relevant
Instruction: Rewrite the text and correct the spelling errors. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: It solves problems comon and uniqe to every team.,It solves problems common and unique to every team.,It solves problems common and unique to every team.
"Instruction: Provide a formula for computing the nth term in the given sequence <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: 5, 14, 23, 32, 41,...",5 + 14 + 23 + 32 + 41 +... = 105,an = 9*n - 4
"Instruction: Explain the meaning of the given phrase in simple terms. Use an example if possible. It would be helpful if you could give an example. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: ""With a little give in them""",With a little bit of flexibility.,"It means with some space to move.
It's a metaphor.
""Give"" is a noun here.
It's meaning is similar to""flexibility"".
If something has no ""give"" it's tight and rigid.
It's the opposite of flexible and loose.
For example, you might use it to talk about clothes: ""These jeans are so tight.
There's no give in them.
I can't move."""
Instruction: Describe how to prepare the given food in your own words. Note down the ingredients you will need and the steps you will take to prepare them. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Chewy Chocolate Chip Cookies,"Ingredients: - Flour - Sugar - Eggs - Milk - Butter - Baking powder - Vanilla extract - Chocolate chips Preparation: 1.
Preheat the oven to 350 degrees Fahrenheit.
2.
Mix all the dry ingredients together in a bowl.
3.
Add the wet ingredients and mix until combined.
4.
Drop by spoonfuls onto a greased cookie sheet.
5.
Bake for 10 minutes or until golden brown.
6.
Let cool before serving.","Ingredients (for 12 cookies): 12 cup granulated sugar(100 g) 34 cup brown sugar(165 g), packed 1 teaspoon salt 12 cup unsalted butter(115 g), melted 1 egg 1 teaspoon vanilla extract 1 14 cups all-purpose flour(155 g) 12 teaspoon baking soda 4 oz milk or semi-sweet chocolate chunks(110 g) 4 oz dark chocolate chunk(110 g), or your preference Preparation: In a large bowl, whisk together the sugars, salt, and butter until a paste forms with no lumps.
Whisk in the egg and vanilla, beating until light ribbons fall off the whisk and remain for a short while before falling back into the mixture.
Sift in the flour and baking soda, then fold the mixture with a spatula (Be careful not to overmix, which would cause the gluten in the flour to toughen resulting in cakier cookies).
Fold in the chocolate chunks, then chill the dough for at least 30 minutes.
For a more intense toffee-like flavor and deeper color, chill the dough overnight.
The longer the dough rests, the more complex its flavor will be.
Preheat oven to 350°F (180°C).
Line a baking sheet with parchment paper.
Scoop the dough with an ice-cream scoop onto a parchment paper-lined baking sheet, leaving at least 4 inches (10 cm) of space between cookies and 2 inches (5 cm) of space from the edges of the pan so that the cookies can spread evenly.
Bake for 12-15 minutes, or until the edges have started to barely brown.
Cool completely before serving."
"Instruction: Based on the given keywords, write a review of a restaurant. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Name: Pizzeria good prices, quiet place, tasty, nice staff","I had a great experience at the Pizzeria.
The food was delicious and the prices were reasonable.
The staff were friendly and helpful.
I would definitely recommend this restaurant to anyone looking for a nice place to eat.","I had a great experience at Pizzeria.
The prices were good, it was a quiet place, and the food was tasty.
The staff was also very nice."
Instruction: Solve the given Sudoku puzzle. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: The Sudoku puzzle is: |1| |5| | | | |8| | | | | | | |3| |6|4| |8|3|4|6|7| |9| | | |2|9|1| | |8|3|7|6| | | |6| | |9|8|1| | | | | | | |2| | | | | |2| | |9|7|6| | | |5|4| | | | | |9|8| |6|1| | | |5|4|3|7|,The Sudoku puzzle is solved.,The solved Sudoku puzzle is: |1|6|5|9|2|4|7|8|9| |9|7|2|8|5|3|1|6|4| |8|3|4|6|7|1|9|2|5| |2|9|1|5|4|8|3|7|6| |4|5|6|7|3|9|8|1|2| |7|8|3|1|6|2|5|4|9| |3|2|8|4|9|7|6|5|1| |5|4|7|3|1|6|2|9|8| |6|1|9|2|8|5|4|3|7|
Instruction: Paraphrase the given text in an academic style. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Lots of papers have been published on this topic.,There have been numerous papers published on this topic.,A considerable amount of literature has been published on this topic.
"Instruction: You will need to guide this person through the scenario they have described for the interview. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Finally! After a while of shooting in the dark and frantically fiddling with sample inputs on the whiteboard, you've came up with an algorithm for solving the coding question your interviewer gave you. Whew. Such a relief to have a clear path forward. To not be flailing anymore. Now you're cruising, getting ready to code up your solution. When suddenly, your interviewer throws you a curve ball. ""What if we thought of the problem this way?"" You feel a tension we've all felt during the coding interview: ""Try to listen to what they're saying...but don't lose your train of thought...ugh, I can't do both!""","I'm sorry, but I can't do both.
I need to focus on one task at a time.","Your interviewer probably won't fault you for going down the wrong path at first.
They've seen really smart engineers do the same thing.
They understand it's because you only have a partial view of the maze.
They might have let you go down the wrong path for a bit to see if you could keep your thinking organized without help.
But now they want to rush you through the part where you discover the dead end and double back.
Not because they don't believe you can manage it yourself.
But because they want to make sure you have enough time to finish the question.
But here's something they will fault you for: failing to listen to them.
Nobody wants to work with an engineer who doesn't listen.
So when you find yourself in that crucial coding interview moment, when you're torn between holding your train of thought and considering the idea your interviewer is suggesting...remember this: Listening to your interviewer is the most important thing.
Take what they're saying and run with it.
Think of the next steps that follow from what they're saying.
Even if it means completely leaving behind the path you were on.
Trust the route your interviewer is pointing you down.
Because they can see the whole maze."
"Instruction: You need to come up with the names of some of the papers that relate to the paper you are given. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: RoMQA: A Benchmark for Robust, Multi-evidence, Multi-answer Question Answering",RoMQA,"+ Question Answering Infused Pre-training of General-Purpose Contextualized Representations + Zero-Shot Dialogue State Tracking via Cross-Task Transfer + Adapting Language Models for Zero-shot Learning by Meta-tuning on Dataset and Prompt Collections + HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering + FewshotQA: A simple framework for few-shot learning of question answering tasks using pre-trained text-to-text models + MKQA: A Linguistically Diverse Benchmark for Multilingual Open Domain Question Answering + FewCLUE: A Chinese Few-shot Learning Evaluation Benchmark + Multilingual Transfer Learning for QA Using Translation as Data Augmentation + Towards Zero Shot Conditional Summarization with Adaptive Multi-task Fine-Tuning"
"Instruction: In the event that a person enjoyed the book that was given, please suggest other books that they might also like. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: The Great Gatsby","You might like the following books: The Sun Also Rises, The Great Gatsby, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises, The Sun Also Rises","To Kill a Mockingbird, The Catcher in the Rye, 1984, Animal Farm, Pride and Prejudice, The Hunger Games, Of Mice and Men, Lord of the Flies"
"Instruction: Create a brief resume introduction using the following information. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: name: Mark nationality: Italian language: English attributes: creative, goal-oriented, motivated skills: software engineering, content marketing","Mark is a creative, goal-oriented and motivated software engineer with a passion for creating innovative solutions.
He is highly skilled in software engineering and content marketing, and is always looking for ways to improve the user experience.","Mark is a creative and goal-oriented software engineer and content marketer.
He has a strong background in software engineering and is skilled in content marketing.
He is a motivated individual who always looks for new opportunities to learn and grow."
Instruction: The last message in the chat is a partial response. You should complete and rewrite it. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: + What are going to do now? - I don't know. I had to give up my dream of being a mathematician. + Why,"What are you going to do now?
I don't know.
I had to give up my dream of being a mathematician.
Why?","+ Why is that?
What happened?"
"Instruction: This is a test for the reading ability of French. Read the given story carefully, and then answer the question in the end. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Lucie est à la maison avec sa petite-fille, Lin. Lucie: Oh, non! Nous n'avons pas de pain! Lin: Ah! Tu vas au supermarché? Lucie: Oui, je veux une baguette pour mon sandwich. Do Lin and Lucie have a lot of bread?","Yes, they have a lot of bread.","No, that's wrong."
Instruction: Define what the underlined word means for kids. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: _keep a promise,Keep a promise means to keep your word or promise.,to be faithful to : Fulfill
Instruction: Write an email to attendees as a reminder that the event is coming up. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST>,"Hi [Event Attendee], I’m writing to remind you that the event is coming up soon.
The event is on [Date] and will be held at [Location].
Please let me know if you have any questions or concerns.","Hello, [name]!
We're excited to announce the [event name] event that you signed up for.
The location is [location], and the date and time is [date and time].
If you have any questions or concerns about the event, please let us know by emailing us at [email]."
Instruction: Write a social media post about the call for collaboration on a crowdsourcing project in a persuasive way. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST>,"We are looking for your help to complete a crowdsourcing project!
We need your expertise and ideas to make this project a success.
Join us and make a difference!
#CrowdsourcingProject #YourInput #MakeADifference","Looking for collaborators on a new crowdsourcing project!
This is a great opportunity to get involved in something innovative and impactful.
If you're interested, please let me know."
Instruction: Think of topics that are most common in classic interview questions for a job in computer science. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST>,- Programming Languages - Software Engineering Practices - Software Development Life Cycle - Software Security - Software Testing - Software Project Management - Software Design Patterns - Software Architecture - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns - Software Design Patterns -,+ Array + Strings + Linked List + Trees + Sorting and Searching + Dynamic Programming + Design + Math
"Instruction: Extract the method that has been used in the research from the abstract of the paper. Give the exact sentences from the abstract that discuss the method. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: We present a state-of-the-art speech recognition system developed using end-to-end deep learning. Our architecture is significantly simpler than traditional speech systems, which rely on laboriously engineered processing pipelines; these traditional systems also tend to perform poorly when used in noisy environments. In contrast, our system does not need hand-designed components to model background noise, reverberation, or speaker variation, but instead directly learns a function that is robust to such effects. We do not need a phoneme dictionary, nor even the concept of a ""phoneme."" Key to our approach is a well-optimized RNN training system that uses multiple GPUs, as well as a set of novel data synthesis techniques that allow us to efficiently obtain a large amount of varied data for training. Our system, called Deep Speech, outperforms previously published results on the widely studied Switchboard Hub5'00, achieving 16.0% error on the full test set. Deep Speech also handles challenging noisy environments better than widely used, state-of-the-art commercial speech systems.Collapse",The authors used a convolutional neural network (CNN) to train the speech recognition system.,"We do not need a phoneme dictionary, nor even the concept of a ""phoneme.""
Key to our approach is a well-optimized RNN training system that uses multiple GPUs, as well as a set of novel data synthesis techniques that allow us to efficiently obtain a large amount of varied data for training."
Instruction: Design a programming problem related to the subject that has been given to you. Use some examples and constraints to improve your question. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Dynamic Programming,Problem: Write a program to find the sum of all numbers from 1 to 100.,"Given an integer array nums, return the length of the longest strictly increasing subsequence.
Example 1: In: nums = [10,9,2,5,3,7,101,18] Out: 4 Explanation: The longest increasing subsequence is [2,3,7,101], therefore the length is 4.
Example 2: In: nums = [0,1,0,3,2,3] Out: 4 Example 3: In: nums = [7,7,7,7,7,7,7] Out: 1 Constraints: 1 = nums.length = 2500 -104 = nums[i] = 104 Follow up: Can you come up with an algorithm that runs in O(n log(n)) time complexity?"
"Instruction: Categorize the given product into one of Electronics, Computers, Smart Home, or Arts & Crafts departments. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Google Nest Learning Thermostat",Electronics,Smart Home
Instruction: Please suggest a few papers to consider based on the search term given. The names of the papers should be listed. <GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST><GIST> Input: Topic: scaling law + machine learning,Article 1,- Learning to limit data collection via scaling laws: A computational interpretation for the legal principle of data minimization - Data and parameter scaling laws for neural machine translation - Explaining neural scaling laws - Scaling laws for autoregressive generative modeling - Scaling laws for neural language models
